,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Болотнинский муниципальный район,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Болховский муниципальный район,0,0,0,0,0,0,2,2,2,2,2,9,9,9,9,8,8,8,8,8,8,8,8,8
Большеберезниковский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Большеболдинский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Большеглушицкий муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,9,9,8,8,8,8,8,8,8,8,8,8
Большемурашкинский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Большемуртинский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,8,8,8,8,8,8,8
Большереченский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8
Большесельский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Большеуковский муниципальный район,2,2,2,2,2,4,4,4,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Большеулуйский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,8,8,8,8,8,8
Большечерниговский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,8,8,8,8,8,8
Бондарский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Борзинский муниципальный район,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,6,6,1,1,1,1,6,6
Борисоглебский муниципальный район,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Боровичский муниципальный район,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Боровский муниципальный район,1,1,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Борский муниципальный район,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,8,8,8,8,8,8,8,8,8
Боханский муниципальный район,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,9,9,8,8,8,8,8,8,8
Братский муниципальный район,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Брединский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Брейтовский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Бугульминский муниципальный район,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Бугурусланский муниципальный район,0,0,0,0,0,4,4,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Будённовский муниципальный округ,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Буздякский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Буинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8
Буйский муниципальный район,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Булунский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Бураевский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Бурейский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8
Бурзянский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,8,8,8,8,8,8,8,8,8
Бурлинский муниципальный район,2,2,2,2,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8
Бутурлинский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,8,8,8,8,8,8,8
Быковский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Быстроистокский муниципальный район,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Вагайский муниципальный район,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Вадинский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Вадский муниципальный округ,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Валдайский муниципальный район,0,0,0,0,6,6,6,6,6,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Ванинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Варгашинский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Варнавинский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Варненский муниципальный район,0,0,0,0,4,4,4,4,4,4,4,9,9,9,9,9,9,8,8,8,8,8,8,8
Вачский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Велижский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Великоустюгский муниципальный округ,0,0,0,0,0,6,6,6,6,6,9,9,6,6,6,8,8,8,8,8,8,8,6,6
Вельский муниципальный район,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Венгеровский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,8,8,8,8,8,8,8,8
Веневский муниципальный район,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Верхнебуреинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхневилюйский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхнекетский муниципальный район,0,0,0,0,0,0,6,6,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Верхнеколымский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхнетоемский муниципальный округ,0,0,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Верхнеуральский муниципальный район,0,0,0,4,4,4,4,4,4,4,4,9,9,9,9,9,9,8,8,8,8,8,8,8
Верхнеуслонский муниципальный район,6,6,6,4,4,4,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8
Верховажский муниципальный округ,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Верховский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,8,8,8,8,8,8,8,8
Верхошижемский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Верхоянский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ветлужский муниципальный округ,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Вешкаймский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Викуловский муниципальный район,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8
Вилюйский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Виноградовский муниципальный округ,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Вичугский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Вожегодский муниципальный округ,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Вознесенский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8
Вологодский муниципальный округ,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Володарский муниципальный округ,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8
Волосовский муниципальный район,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Волховский муниципальный район,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Волчихинский муниципальный район,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Вольский муниципальный район,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Воскресенский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Воскресенский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8
Вохомский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
