target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
temporal_louvain_alpha70,temporal,2023-02-01,rms_radius_floor_one,8,0.34623705531194304,0.25177806171000794,0.2490434575631945,0.5008215192732024,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-02-01,printed_outside_indicator,8,0.12241328485456833,0.25177806171000794,1.4350510827418919,1.6868291444518997,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-02-01,round14_strict,6,0.15507045688035573,0.3030261988604345,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-02-01,round14_zero_zero,6,0.15507045688035573,0.3030261988604345,0.287012987012987,0.5900391858734215,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-02-01,round14_floor_one,6,0.15507045688035573,0.3030261988604345,0.287012987012987,0.5900391858734215,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-02-01,rms_radius_strict,6,0.3798434935371324,0.3030261988604345,0.4391460677111577,0.7421722665715922,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-02-01,rms_radius_floor_one,6,0.3798434935371324,0.3030261988604345,0.4391460677111577,0.7421722665715922,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-02-01,printed_outside_indicator,6,0.15507045688035573,0.3030261988604345,1.248495486576961,1.5515216854373957,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-03-01,round14_strict,8,0.12127975250474594,0.25031574240137744,,,undefined,2,1,0
temporal_louvain_alpha70,temporal,2023-03-01,round14_zero_zero,8,0.12127975250474594,0.25031574240137744,0.14017857142857143,0.39049431382994887,finite,2,1,0
temporal_louvain_alpha70,temporal,2023-03-01,round14_floor_one,8,0.12127975250474594,0.25031574240137744,0.14017857142857143,0.39049431382994887,finite,2,1,0
temporal_louvain_alpha70,temporal,2023-03-01,rms_radius_strict,8,0.3430309416669281,0.25031574240137744,0.2523352413544125,0.50265098375579,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-03-01,rms_radius_floor_one,8,0.3430309416669281,0.25031574240137744,0.2523352413544125,0.50265098375579,finite,0,0,0
