scope,key,actual,stored,delta,passed
seed0_run,mean_adjacent_NMI,0.878845737632479,0.878845737632479,0.0,True
seed1_profiles,A/retention,0.9787234042553191,0.9787234042553191,0.0,True
seed1_profiles,A/precision,0.7301587301587301,0.7301587301587301,0.0,True
seed1_profiles,A/Jaccard,0.71875,0.71875,0.0,True
seed1_profiles,A/within_pair_coassignment,0.9578520770010132,0.9578520770010132,0.0,True
seed1_profiles,B/retention,1.0,1.0,0.0,True
seed1_profiles,B/precision,0.33793103448275863,0.33793103448275863,0.0,True
seed1_profiles,B/Jaccard,0.33793103448275863,0.33793103448275863,0.0,True
seed1_profiles,B/within_pair_coassignment,1.0,1.0,0.0,True
seed1_profiles,C/retention,0.5862068965517241,0.5862068965517241,0.0,True
seed1_profiles,C/precision,0.8947368421052632,0.8947368421052632,0.0,True
seed1_profiles,C/Jaccard,0.5483870967741935,0.5483870967741935,0.0,True
seed1_profiles,C/within_pair_coassignment,0.4088669950738916,0.4088669950738916,0.0,True
seed1_profiles,D/retention,0.9738562091503268,0.9738562091503268,0.0,True
seed1_profiles,D/precision,0.37721518987341773,0.37721518987341773,0.0,True
seed1_profiles,D/Jaccard,0.37343358395989973,0.37343358395989973,0.0,True
seed1_profiles,D/within_pair_coassignment,0.9487444100447197,0.9487444100447197,0.0,True
seed1_profiles,E/retention,0.9946236559139785,0.9946236559139785,0.0,True
seed1_profiles,E/precision,0.6379310344827587,0.6379310344827587,0.0,True
seed1_profiles,E/Jaccard,0.6357388316151202,0.6357388316151202,0.0,True
seed1_profiles,E/within_pair_coassignment,0.989247311827957,0.989247311827957,0.0,True
seed1_profiles,F/retention,0.6880733944954128,0.6880733944954128,0.0,True
seed1_profiles,F/precision,0.569620253164557,0.569620253164557,0.0,True
seed1_profiles,F/Jaccard,0.45271629778672035,0.45271629778672035,0.0,True
seed1_profiles,F/within_pair_coassignment,0.5228982570683477,0.5228982570683477,0.0,True
seed1_profiles,G/retention,0.9761658031088083,0.9761658031088083,0.0,True
seed1_profiles,G/precision,0.9354518371400199,0.9354518371400199,0.0,True
seed1_profiles,G/Jaccard,0.9145631067961165,0.9145631067961165,0.0,True
seed1_profiles,G/within_pair_coassignment,0.9532130802141336,0.9532130802141336,0.0,True
seed1_pairs,A/B/cross_coassignment,0.014184397163120567,0.014184397163120567,0.0,True
seed1_pairs,A/C/cross_coassignment,0.26999266324284665,0.26999266324284665,0.0,True
seed1_pairs,A/D/cross_coassignment,0.007277615537940945,0.007277615537940945,0.0,True
seed1_pairs,A/E/cross_coassignment,0.014146267063219706,0.014146267063219706,0.0,True
seed1_pairs,A/F/cross_coassignment,0.12460147049254994,0.12460147049254994,0.0,True
seed1_pairs,A/G/cross_coassignment,0.00317495314739279,0.00317495314739279,0.0,True
seed1_pairs,B/C/cross_coassignment,0.0,0.0,0.0,True
seed1_pairs,B/D/cross_coassignment,0.026143790849673203,0.026143790849673203,0.0,True
seed1_pairs,B/E/cross_coassignment,0.9946236559139785,0.9946236559139785,0.0,True
seed1_pairs,B/F/cross_coassignment,0.0,0.0,0.0,True
seed1_pairs,B/G/cross_coassignment,0.0,0.0,0.0,True
seed1_pairs,C/D/cross_coassignment,0.0,0.0,0.0,True
seed1_pairs,C/E/cross_coassignment,0.0,0.0,0.0,True
seed1_pairs,C/F/cross_coassignment,0.04682062638405568,0.04682062638405568,0.0,True
seed1_pairs,C/G/cross_coassignment,0.06939431838484902,0.06939431838484902,0.0,True
seed1_pairs,D/E/cross_coassignment,0.03123901890505306,0.03123901890505306,0.0,True
seed1_pairs,D/F/cross_coassignment,0.6700845475805001,0.6700845475805001,0.0,True
seed1_pairs,D/G/cross_coassignment,0.018165193538555318,0.018165193538555318,0.0,True
seed1_pairs,E/F/cross_coassignment,0.003699319325244155,0.003699319325244155,0.0,True
seed1_pairs,E/G/cross_coassignment,0.00010028413839211098,0.00010028413839211098,0.0,True
seed1_pairs,F/G/cross_coassignment,0.1982982364405571,0.1982982364405571,0.0,True
seed1_run,ARI_all_supra,0.5279288367544793,0.5279288367544793,0.0,True
seed1_run,NMI_all_supra,0.5928302001963187,0.5928302001963187,0.0,True
seed1_run,ARI_Dec2024,0.7778993506618662,0.7778993506618662,0.0,True
seed1_run,NMI_Dec2024,0.7241157747816637,0.7241157747816637,0.0,True
seed1_run,K_supra,13.0,13.0,0.0,True
seed1_run,K_Dec2024,8.0,8.0,0.0,True
seed1_run,mean_switches,2.3718487394957983,2.3718487394957983,0.0,True
seed1_run,median_switches,2.0,2.0,0.0,True
seed1_run,share_zero_switches,0.0,0.0,0.0,True
seed1_run,share_le2_switches,0.7547268907563025,0.7547268907563025,0.0,True
seed1_run,mean_adjacent_ARI,0.8417886977313769,0.8417886977313769,0.0,True
seed1_run,mean_adjacent_NMI,0.8438816672263298,0.8438816672263298,0.0,True
seed2_profiles,A/retention,0.9645390070921985,0.9645390070921985,0.0,True
seed2_profiles,A/precision,0.9645390070921985,0.9645390070921985,0.0,True
seed2_profiles,A/Jaccard,0.9315068493150684,0.9315068493150684,0.0,True
seed2_profiles,A/within_pair_coassignment,0.9306990881458966,0.9306990881458966,0.0,True
seed2_profiles,B/retention,1.0,1.0,0.0,True
seed2_profiles,B/precision,0.6405228758169934,0.6405228758169934,0.0,True
seed2_profiles,B/Jaccard,0.6405228758169934,0.6405228758169934,0.0,True
seed2_profiles,B/within_pair_coassignment,1.0,1.0,0.0,True
seed2_profiles,C/retention,0.6551724137931034,0.6551724137931034,0.0,True
seed2_profiles,C/precision,1.0,1.0,0.0,True
seed2_profiles,C/Jaccard,0.6551724137931034,0.6551724137931034,0.0,True
seed2_profiles,C/within_pair_coassignment,0.49261083743842365,0.49261083743842365,0.0,True
seed2_profiles,D/retention,0.8235294117647058,0.8235294117647058,0.0,True
seed2_profiles,D/precision,0.4883720930232558,0.4883720930232558,0.0,True
seed2_profiles,D/Jaccard,0.4421052631578947,0.4421052631578947,0.0,True
seed2_profiles,D/within_pair_coassignment,0.7074303405572755,0.7074303405572755,0.0,True
seed2_profiles,E/retention,0.6989247311827957,0.6989247311827957,0.0,True
seed2_profiles,E/precision,0.5038759689922481,0.5038759689922481,0.0,True
seed2_profiles,E/Jaccard,0.4140127388535032,0.4140127388535032,0.0,True
