target,scope,month,cluster_id,n,variance_norm,radius,center_density,min_center_distance
temporal_louvain_alpha70,temporal,2023-09-01,5,1,0.0,0.09722514216880894,1,0.0
temporal_louvain_alpha70,temporal,2023-09-01,6,358,0.10181187653850494,0.09722514216880894,0,0.09891875166870291
temporal_louvain_alpha70,temporal,2023-09-01,7,19,0.1541896058823649,0.09722514216880894,0,0.26907712668179345
temporal_louvain_alpha70,temporal,2023-09-01,8,159,0.04265086713268665,0.09722514216880894,0,0.11094726490268118
temporal_louvain_alpha70,temporal,2023-09-01,9,168,0.028852603452220533,0.09722514216880894,6,0.05371058328430162
temporal_leiden_alpha70,temporal,2023-09-01,0,936,0.1309373655147549,0.09342629086006564,0,0.13234711662774828
temporal_leiden_alpha70,temporal,2023-09-01,1,1,0.0,0.09342629086006564,1,0.0
temporal_leiden_alpha70,temporal,2023-09-01,3,240,0.06975225869806607,0.09342629086006564,3,0.05862656923452347
temporal_leiden_alpha70,temporal,2023-09-01,4,207,0.39432425278287087,0.09342629086006564,0,0.1516767022696477
temporal_leiden_alpha70,temporal,2023-09-01,5,42,0.026611909265128537,0.09342629086006564,7,0.03494097390296848
temporal_leiden_alpha70,temporal,2023-09-01,6,271,0.075469594445027,0.09342629086006564,0,0.10405810236119514
temporal_leiden_alpha70,temporal,2023-09-01,8,187,0.022488518256739958,0.09342629086006564,19,0.05199541765448535
temporal_leiden_alpha70,temporal,2023-09-01,9,18,0.1532632834243713,0.09342629086006564,0,0.24346259059362588
temporal_leiden_alpha70,temporal,2023-09-01,10,1,0.0,0.09342629086006564,1,0.0
temporal_leiden_alpha70,temporal,2023-09-01,11,1,0.0,0.09342629086006564,1,0.0
temporal_louvain_alpha70,temporal,2023-10-01,0,337,0.07670162634874833,0.0847516188265159,0,0.13017575818433486
temporal_louvain_alpha70,temporal,2023-10-01,1,198,0.3093831768495459,0.0847516188265159,0,0.1626070636198757
temporal_louvain_alpha70,temporal,2023-10-01,2,505,0.11040807043950945,0.0847516188265159,0,0.12630997320845067
temporal_louvain_alpha70,temporal,2023-10-01,3,114,0.04129905570032003,0.0847516188265159,6,0.035623670602075504
temporal_louvain_alpha70,temporal,2023-10-01,4,2,0.027440856413662576,0.0847516188265159,0,0.2019793796299111
temporal_louvain_alpha70,temporal,2023-10-01,5,1,0.0,0.0847516188265159,1,0.0
temporal_louvain_alpha70,temporal,2023-10-01,6,386,0.09936578959770363,0.0847516188265159,0,0.09095305525618544
temporal_louvain_alpha70,temporal,2023-10-01,7,26,0.1335177960377714,0.0847516188265159,0,0.31905489974190776
temporal_louvain_alpha70,temporal,2023-10-01,8,167,0.04395861839477158,0.0847516188265159,0,0.1021455909523177
temporal_louvain_alpha70,temporal,2023-10-01,9,167,0.027048274357487523,0.0847516188265159,5,0.06903947394107283
temporal_louvain_alpha70,temporal,2023-10-01,11,1,0.0,0.0847516188265159,1,0.0
temporal_leiden_alpha70,temporal,2023-10-01,0,231,0.08287215701395871,0.09379311112436275,0,0.13769619367723085
temporal_leiden_alpha70,temporal,2023-10-01,1,631,0.10784523766190061,0.09379311112436275,0,0.13692229262914918
temporal_leiden_alpha70,temporal,2023-10-01,3,226,0.0693414414044496,0.09379311112436275,2,0.05647415761576882
temporal_leiden_alpha70,temporal,2023-10-01,4,209,0.35464568260343077,0.09379311112436275,0,0.13763868147845093
temporal_leiden_alpha70,temporal,2023-10-01,5,60,0.048648595744470474,0.09379311112436275,5,0.0702700372848388
temporal_leiden_alpha70,temporal,2023-10-01,6,359,0.07985121838446667,0.09379311112436275,0,0.11897198634716105
temporal_leiden_alpha70,temporal,2023-10-01,8,168,0.02058003708866628,0.09379311112436275,23,0.04130730855701458
temporal_leiden_alpha70,temporal,2023-10-01,9,18,0.11593039953736285,0.09379311112436275,0,0.23352068218899044
temporal_leiden_alpha70,temporal,2023-10-01,10,1,0.0,0.09379311112436275,1,0.0
temporal_leiden_alpha70,temporal,2023-10-01,11,1,0.0,0.09379311112436275,1,0.0
temporal_louvain_alpha70,temporal,2023-11-01,0,336,0.07743678245691842,0.08701596864889191,0,0.13083574467225545
temporal_louvain_alpha70,temporal,2023-11-01,1,195,0.28641308932590476,0.08701596864889191,0,0.1885711763523569
temporal_louvain_alpha70,temporal,2023-11-01,2,451,0.11216517005591416,0.08701596864889191,0,0.13317324544404596
temporal_louvain_alpha70,temporal,2023-11-01,3,114,0.04299177599900157,0.08701596864889191,7,0.03194005236006235
temporal_louvain_alpha70,temporal,2023-11-01,4,2,0.029706687312920806,0.08701596864889191,0,0.22099207550695135
temporal_louvain_alpha70,temporal,2023-11-01,5,1,0.0,0.08701596864889191,1,0.0
temporal_louvain_alpha70,temporal,2023-11-01,6,424,0.09016784057473415,0.08701596864889191,1,0.07317279260223188
temporal_louvain_alpha70,temporal,2023-11-01,7,36,0.14070274129447236,0.08701596864889191,0,0.34679332110822525
temporal_louvain_alpha70,temporal,2023-11-01,8,167,0.04457125870271619,0.08701596864889191,0,0.11888187943098712
temporal_louvain_alpha70,temporal,2023-11-01,9,167,0.02685943314758007,0.08701596864889191,4,0.04830321018090865
temporal_louvain_alpha70,temporal,2023-11-01,11,11,0.06517045591833524,0.08701596864889191,0,0.20539532158294802
temporal_leiden_alpha70,temporal,2023-11-01,1,879,0.14327047738419751,0.10027061244150648,1,0.07887611030078752
temporal_leiden_alpha70,temporal,2023-11-01,3,206,0.06419767105721753,0.10027061244150648,2,0.06600091834909128
