panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
413,Козельский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08968165832372332,0.29557936318835853
414,Козловский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
415,Козульский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
416,Койгородский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08484266599376855,0.36491615604457694
417,Кологривский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
418,Колосовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
419,Колпашевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
420,Колпнянский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
421,Колыванский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08604204917991454,0.3085765217788225
422,Колышлейский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
423,Кольский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.20135032259042612,0.01822771296362663
424,Кольчугинский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.18155776899449422,0.01881773885178445
425,Комсомольский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
426,Кондинский муниципальный район,F,D,True,True,True,True,True,True,True,True,4,True,4,True,0.17321965046791304,0.019267204745428035
427,Кондопожский муниципальный район,F,G,True,True,True,True,True,True,False,True,3,False,4,True,0.07762590885104204,0.027070040447623678
428,Коношский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08968165832372332,0.29557936318835853
