panel_index,municipality,reference_profile,consensus_class,second_class,affinity_share_B,affinity_share_E,B_E_balance,B_E_transition_direction,family_votes_B_over_E,family_votes_E_over_B,lofo_class_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
1114,внутригородская территория города федерального значения муниципальный округ Басманный,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1115,внутригородская территория города федерального значения муниципальный округ Беговой,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1116,внутригородская территория города федерального значения муниципальный округ Бескудниковский,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1117,внутригородская территория города федерального значения муниципальный округ Бибирево,E,E,B,0.3287705980129189,0.6172661273032193,-0.30495172287724187,E-leaning,1,3,4,E,0.46275574711842815,0.28849552929030037
1118,внутригородская территория города федерального значения муниципальный округ Бирюлево Восточное,E,E,B,0.30494040926149146,0.6080743852531909,-0.33201430887309097,E-leaning,1,3,4,E,0.5120211620528349,0.30313397599169944
1119,внутригородская территория города федерального значения муниципальный округ Бирюлево Западное,E,E,B,0.299607285875461,0.5992593835216613,-0.3333665690899181,E-leaning,1,3,4,E,0.5310327098006474,0.2996520976462003
1120,внутригородская территория города федерального значения муниципальный округ Богородское,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1121,внутригородская территория города федерального значения муниципальный округ Большая Охта,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1122,внутригородская территория города федерального значения муниципальный округ Братеево,E,E,B,0.3287705980129189,0.6172661273032193,-0.30495172287724187,E-leaning,1,3,4,E,0.46275574711842815,0.28849552929030037
1123,внутригородская территория города федерального значения муниципальный округ Бутырский,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1124,внутригородская территория города федерального значения муниципальный округ Васильевский,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1125,внутригородская территория города федерального значения муниципальный округ Введенский,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1126,внутригородская территория города федерального значения муниципальный округ Вешняки,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1127,внутригородская территория города федерального значения муниципальный округ Владимирский округ,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1128,внутригородская территория города федерального значения муниципальный округ Внуково,E,E,B,0.30354673942618465,0.6041894744090379,-0.3312005518790811,E-leaning,1,3,4,E,0.5198074247914846,0.30064273498285327
1129,внутригородская территория города федерального значения муниципальный округ Войковский,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1130,внутригородская территория города федерального значения муниципальный округ Волковское,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1131,внутригородская территория города федерального значения муниципальный округ Восточное Дегунино,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1132,внутригородская территория города федерального значения муниципальный округ Восточное Измайлово,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1133,внутригородская территория города федерального значения муниципальный округ Восточный,E,E,B,0.299607285875461,0.5992593835216613,-0.3333665690899181,E-leaning,1,3,4,E,0.5310327098006474,0.2996520976462003
1134,внутригородская территория города федерального значения муниципальный округ Выхино-Жулебино,E,E,B,0.3287705040735227,0.6180097761533447,-0.305497778228455,E-leaning,1,3,4,E,0.46126953232828694,0.28923927207982203
1135,внутригородская территория города федерального значения муниципальный округ Гавань,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1136,внутригородская территория города федерального значения муниципальный округ Гагаринский,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1137,внутригородская территория города федерального значения муниципальный округ Гагаринское,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1138,внутригородская территория города федерального значения муниципальный округ Георгиевский,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1139,внутригородская территория города федерального значения муниципальный округ Головинский,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1140,внутригородская территория города федерального значения муниципальный округ Гольяново,E,E,B,0.3287705980129189,0.6172661273032193,-0.30495172287724187,E-leaning,1,3,4,E,0.46275574711842815,0.28849552929030037
1141,внутригородская территория города федерального значения муниципальный округ Горелово,E,E,B,0.30840555804043457,0.6084015506467578,-0.3272182226377998,E-leaning,1,3,4,E,0.5077486328545758,0.29999599260632326
1142,внутригородская территория города федерального значения муниципальный округ Гражданка,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1143,внутригородская территория города федерального значения муниципальный округ Даниловский,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1144,внутригородская территория города федерального значения муниципальный округ Дачное,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1145,внутригородская территория города федерального значения муниципальный округ Дворцовый округ,B,B,E,0.6409063879400063,0.32430078072436624,0.328018292335883,B-leaning,4,0,4,B,0.4226353096457766,0.3166056072156401
1146,внутригородская территория города федерального значения муниципальный округ Дмитровский,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
1147,внутригородская территория города федерального значения муниципальный округ Донской,B,B,E,0.6452180586783532,0.3200649421501972,0.33684744914088505,B-leaning,4,0,4,B,0.4209705747608935,0.32515311652815604
1148,внутригородская территория города федерального значения муниципальный округ Дорогомилово,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1149,внутригородская территория города федерального значения муниципальный округ Екатерингофский,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
1150,внутригородская территория города федерального значения муниципальный округ Замоскворечье,B,B,E,0.6468346709265598,0.3182921346219576,0.3404138548590817,B-leaning,4,0,4,B,0.4206902401057257,0.3285425363046022
1151,внутригородская территория города федерального значения муниципальный округ Западное Дегунино,E,E,B,0.41343649555601647,0.5456595691019657,-0.13786217921048455,E-leaning,1,3,4,E,0.45760717484497515,0.1322230735459492
