panel_index,municipality,reference_profile,perturbation_affinity_share_A,perturbation_affinity_share_B,perturbation_affinity_share_C,perturbation_affinity_share_D,perturbation_affinity_share_E,perturbation_affinity_share_F,perturbation_affinity_share_G,alpha_affinity_share_A,alpha_affinity_share_B,alpha_affinity_share_C,alpha_affinity_share_D,alpha_affinity_share_E,alpha_affinity_share_F,alpha_affinity_share_G,gamma_affinity_share_A,gamma_affinity_share_B,gamma_affinity_share_C,gamma_affinity_share_D,gamma_affinity_share_E,gamma_affinity_share_F,gamma_affinity_share_G,algorithm_affinity_share_A,algorithm_affinity_share_B,algorithm_affinity_share_C,algorithm_affinity_share_D,algorithm_affinity_share_E,algorithm_affinity_share_F,algorithm_affinity_share_G
750,Родинский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
751,Родниковский муниципальный район,G,0.025988264455029837,0.02586565133224082,0.09691878805380388,0.02609602372210771,0.026267708088700523,0.20467927119351043,0.5941842931546067,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
752,Ромненский муниципальный округ,G,0.02570175173680439,0.02539842283968242,0.09472336919134997,0.0279847975045517,0.025862553581863925,0.22586813166704148,0.5744609734787061,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008206485341960482,0.0,0.11970149309135464,0.0,0.0,0.2521235576171467,0.6199684639495382,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
753,Ромодановский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
754,Рославльский муниципальный район,F,0.049740120488769086,0.022495145413599864,0.08074459291626465,0.11803152645879039,0.02376597266139303,0.37133329781195146,0.33388934424923145,0.0081990042349156,0.0,0.019932062019363785,0.27956996793173,0.03573840152396679,0.35107331323676955,0.3054872510532543,0.00793375077708569,0.0,0.11572333030024992,0.0,0.0,0.5190096619153087,0.3573332570073556,0.015227825612616442,0.0,0.18509684580852748,0.0,0.0,0.2634507253225667,0.5362246032562895
755,Ростовский муниципальный район,F,0.04910228848677837,0.022724839653280444,0.0823648582678325,0.10769769142534538,0.0239466052375929,0.36578042400326605,0.3483832929259043,0.0081990042349156,0.0,0.019932062019363785,0.27956996793173,0.03573840152396679,0.35107331323676955,0.3054872510532543,0.00793375077708569,0.0,0.11572333030024992,0.0,0.0,0.5190096619153087,0.3573332570073556,0.015227825612616442,0.0,0.18509684580852748,0.0,0.0,0.2634507253225667,0.5362246032562895
756,Ртищевский муниципальный район,G,0.02569776874729643,0.025576526188745882,0.09583543398923859,0.028096154848133666,0.026043911591270185,0.21506069332389632,0.5836895113114189,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
757,Рузаевский муниципальный район,F,0.04743468690823921,0.022593204169111845,0.08228334633820455,0.11832109362256625,0.02393124954457457,0.36024810490419634,0.34518831451310733,0.0081990042349156,0.0,0.019932062019363785,0.27956996793173,0.03573840152396679,0.35107331323676955,0.3054872510532543,0.00793375077708569,0.0,0.11572333030024992,0.0,0.0,0.5190096619153087,0.3573332570073556,0.015227825612616442,0.0,0.18509684580852748,0.0,0.0,0.2634507253225667,0.5362246032562895
758,Русско-Полянский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
759,Рыбновский муниципальный район,F,0.07360809036979939,0.02176758765635429,0.07317829810745624,0.22488825362547732,0.03018768697595111,0.37746239569977164,0.19890768756519012,0.0081990042349156,0.0,0.019932062019363785,0.27956996793173,0.03573840152396679,0.35107331323676955,0.3054872510532543,0.002189060710874564,0.0,0.0,0.30865756023331353,0.0,0.6031130850633131,0.08604029399249881,0.009420277928411418,0.0,0.0,0.6554481613523121,0.007141178429602204,0.3279903822896742,0.0
