panel_index,municipality,consensus_class,second_class,affinity_share_D,affinity_share_F,affinity_share_G,D_G_balance,D_G_transition_direction,family_votes_D_over_G,family_votes_G_over_D,lofo_class_match_count,lofo_DG_side_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
518,Магдагачинский муниципальный район,F,A,0.038642855350603626,0.3170996426401389,0.270276293491221,-0.7498189704621394,G-leaning,1,3,1,4,A,0.7624453550824671,0.045160944292117366
519,Мазановский муниципальный район,F,A,0.03209945255544244,0.31093925289098123,0.26872411352531933,-0.7865895084374823,G-leaning,1,3,1,4,A,0.7585367755687265,0.028845997309652205
520,Майкопский муниципальный район,D,F,0.36673079785440676,0.34455283768611483,0.17012228672522903,0.36622405044598977,mixed,2,2,3,4,F,0.7346135015825693,0.022177960168291933
530,Малоярославецкий муниципальный район,D,F,0.48952238725621994,0.39198879987495894,0.018943053162120412,0.9254893188157096,D-leaning,4,0,4,4,F,0.5811802189512819,0.097533587381261
536,Мариинский муниципальный округ,G,F,0.02999579605978005,0.3221951984837654,0.48412348796091353,-0.8833119200462719,G-leaning,0,4,4,4,G,0.6318071561392127,0.16192828947714816
550,Мелеузовский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
563,Могочинский муниципальный округ,F,G,0.19542100657692718,0.37125997459610577,0.24555514151692015,-0.11368899464676616,G-leaning,1,3,4,3,F,0.7928646646420988,0.12570483307918562
564,Моздокский муниципальный район,G,F,0.11756203154548579,0.3622039686833942,0.3736873540125214,-0.521375354344931,G-leaning,0,4,3,4,G,0.7211325720447997,0.011483385329127183
575,Мошковский муниципальный район,F,G,0.19916640152616516,0.33438265791685906,0.3146261852229426,-0.22472061036793065,G-leaning,1,3,2,3,F,0.7663541932371972,0.01975647269391645
587,Наримановский муниципальный район,D,F,0.451515610872589,0.35682495972474765,0.10270604599510802,0.62936834126774,D-leaning,3,1,4,4,D,0.6596321762300171,0.09469065114784136
594,Нерчинский муниципальный район,G,F,0.03037161533584305,0.33042194227809374,0.3469135123681464,-0.8389991382874121,G-leaning,0,4,2,4,G,0.741793384172638,0.016491570090052643
598,Нефтеюганский муниципальный район,D,F,0.46548790379030297,0.36586525492863053,0.01658339184755742,0.9311994221700555,D-leaning,4,0,4,4,F,0.6235728720082644,0.09962264886167244
600,Нижневартовский муниципальный район,D,F,0.43110607266891754,0.35708617935556536,0.018091387280137906,0.9194501799623279,D-leaning,4,0,3,4,F,0.6450528277426613,0.07401989331335218
609,Нижнеудинский муниципальный район,G,F,0.1027942243853434,0.36085897010354984,0.39200545356036465,-0.5845016520135143,G-leaning,0,4,3,4,G,0.7084029638886937,0.03114648345681481
647,Октябрьский муниципальный округ,G,F,0.028925321530131946,0.3305308696183626,0.4120907245603012,-0.8688241764146576,G-leaning,0,4,3,4,G,0.6997554843998907,0.08155985494193863
653,Ольгинский муниципальный округ,G,F,0.03037161533584305,0.33042194227809374,0.3469135123681464,-0.8389991382874121,G-leaning,0,4,2,4,G,0.741793384172638,0.016491570090052643
657,Омский муниципальный район,D,F,0.42108385122481334,0.36259949976018,0.12799728781070144,0.533776417687432,D-leaning,3,1,3,4,D,0.6778328670494751,0.05848435146463332
662,Ононский муниципальный округ,G,F,0.03037161533584305,0.33042194227809374,0.3469135123681464,-0.8389991382874121,G-leaning,0,4,2,4,G,0.741793384172638,0.016491570090052643
670,Островский муниципальный район,G,F,0.10846175193009963,0.36304899755980724,0.38475012478991455,-0.5601819134956838,G-leaning,0,4,3,4,G,0.7120950913038101,0.02170112723010731
673,Павловский муниципальный округ,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
680,Партизанский муниципальный округ,F,G,0.11813386432234994,0.35089571047345613,0.25769109627639736,-0.3713357189786201,G-leaning,1,3,4,3,F,0.8093796583390787,0.09320461419705878
690,Пестречинский муниципальный район,D,F,0.43939757694983,0.35879088254670916,0.10906448141155928,0.6022897855964535,D-leaning,3,1,4,4,D,0.670679472295458,0.08060669440312085
692,Петровск-Забайкальский муниципальный район,G,F,0.02979609823748663,0.3162467398874528,0.4914751151956851,-0.8856790957580605,G-leaning,0,4,4,4,G,0.6266315738486233,0.17522837530823232
696,Петушинский муниципальный район,D,F,0.48753485133380925,0.3905207751034885,0.01890835854910641,0.9253288101010266,D-leaning,4,0,4,4,F,0.5848501292895198,0.09701407623032077
