,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Александрово-Гайский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Александровский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Аликовский муниципальный округ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,11,11,11,11,11,11,11,11
Алькеевский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,11,11,11,11,11,11,11,11
Альменевский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Альметьевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Альшеевский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,11
Амгинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Амурский муниципальный район,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1
Анадырский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Андроповский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Антроповский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Анучинский муниципальный округ,1,1,3,3,3,3,1,1,1,1,1,1,1,1,7,7,7,11,11,11,11,11,11,11
Апанасенковский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Апастовский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11
Аргаяшский муниципальный район,0,0,3,3,3,3,3,3,0,0,0,7,7,7,11,11,11,11,11,11,11,11,11,11
Ардатовский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Ардатовский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Ардонский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Арзгирский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Аркадакский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Армизонский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Аромашевский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Арсеньевский муниципальный район,3,3,3,0,0,0,0,7,7,7,7,7,4,4,4,4,11,11,11,11,11,11,11,11
Арский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11,11
Архангельский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,11,11,11,11,11,11,11,11
Архаринский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Асекеевский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Асиновский муниципальный район,0,0,0,1,1,1,1,0,0,0,0,4,4,4,4,4,4,11,11,11,11,11,11,11
Аскинский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,7,7,4,4,4,4,4,4,11,11,11,11,11
Аткарский муниципальный район,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Атнинский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11
Атюрьевский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Атяшевский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Аургазинский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,11
Ахтубинский муниципальный район,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11
Ашинский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,10,10,10,11,11
Бабаевский муниципальный округ,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11
Бабушкинский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,4,4,4,4,4,4,4,11,11,11,11
Бабынинский муниципальный район,0,0,0,0,0,0,0,7,7,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11
Бавлинский муниципальный район,2,2,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11
Баганский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Баевский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Базарно-Карабулакский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Базарносызганский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Бай-Тайгинский муниципальный район,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,10,10,4,4,11,11
Байкаловский муниципальный район,3,3,0,0,0,0,0,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Баймакский муниципальный район,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,11,11
Бакалинский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,7,7,11,11,11,11,11,11,11,11,11,11
Бакчарский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Балаганский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Балаковский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Балахнинский муниципальный округ,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,10,10,10,10,10,10
Балахтинский муниципальный район,3,3,3,3,3,3,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10
Балашовский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Балейский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,11,11,11
Балтайский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Балтасинский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,11,11,11,11,11,11,11,11,11
Балтачевский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11
Барабинский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10
Барун-Хемчикский муниципальный район,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,11
Барышский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Барятинский муниципальный район,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Батыревский муниципальный округ,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,11,11,11,11,11,11,11,11,11
Башмаковский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Баяндаевский муниципальный район,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
Бежаницкий муниципальный район,3,3,3,3,3,0,0,7,7,7,7,7,7,7,7,7,11,11,11,11,11,10,10,10
Безенчукский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,10,10,10,10
Бейский муниципальный район,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,4,4,11,11,11,11,11,11,11
Бековский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11,11
Белебеевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,10,10,10,10,10,10,10
Белевский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Белинский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Беловский муниципальный округ,3,3,3,3,3,0,0,0,0,4,4,7,7,7,7,4,4,11,11,11,11,11,11,11
Белогорский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10
Белокатайский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,11,11,11,11,11,11,11,11
Беломорский муниципальный округ,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
Белорецкий муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,10,10,10,10
Белохолуницкий муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Белоярский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Беляевский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,11
Бердюжский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Бессоновский муниципальный район,3,3,3,3,3,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Бижбулякский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11
Бийский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11,10,10,10
Бикинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Билибинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Бирилюсский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Биробиджанский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Бирский муниципальный район,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,10,10,10,10,10,10,10
Благоварский муниципальный район,0,0,0,3,3,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11
Благовещенский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Благодарненский муниципальный округ,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Богатовский муниципальный район,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Богородицкий муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,11,10,10,10
Богородский муниципальный округ,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,10,10,10,10
Боградский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Богучанский муниципальный район,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
Бокситогорский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,10,10,10,10
Болотнинский муниципальный район,3,3,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,10,10,10,10
Болховский муниципальный район,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Большеберезниковский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Большеболдинский муниципальный округ,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Большеглушицкий муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Большемурашкинский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Большемуртинский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Большереченский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11,11
Большесельский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Большеуковский муниципальный район,3,3,3,3,3,0,0,0,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Большеулуйский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Большечерниговский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Бондарский муниципальный округ,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Борзинский муниципальный район,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,1,1,1,1,1,1,10,10
Борисоглебский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Боровичский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,10,10,10,10,10,10
Боровский муниципальный район,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10
Борский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Боханский муниципальный район,0,0,0,0,0,0,0,0,0,0,7,7,4,4,4,4,4,11,11,11,11,11,11,11
Братский муниципальный район,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11,10,10,10
Брединский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Брейтовский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Бугульминский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Бугурусланский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,10,10,10,10,10,10,10,10,10
Будённовский муниципальный округ,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Буздякский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11
Буинский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,11
Буйский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Булунский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Бураевский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11,11
Бурейский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Бурзянский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11
Бурлинский муниципальный район,3,3,3,3,3,3,3,0,0,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Бутурлинский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Быковский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Быстроистокский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Вагайский муниципальный район,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Вадинский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Вадский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Валдайский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11,11,10,10
Ванинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Варгашинский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Варнавинский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Варненский муниципальный район,3,3,3,3,0,0,0,0,0,0,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Вачский муниципальный округ,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Велижский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Великоустюгский муниципальный округ,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Вельский муниципальный район,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Венгеровский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Веневский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Верхнебуреинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхневилюйский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхнекетский муниципальный район,3,3,3,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11,11,11,11
Верхнеколымский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Верхнетоемский муниципальный округ,3,3,3,3,3,3,3,0,0,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Верхнеуральский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,11,11,11
Верхнеуслонский муниципальный район,5,5,5,0,0,0,0,0,4,4,4,4,2,2,2,2,2,4,4,6,6,10,10,10
Верховажский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Верховский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Верхошижемский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Верхоянский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ветлужский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Вешкаймский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Викуловский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,4,4,11,11,11,11,11,11,11
Вилюйский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Виноградовский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Вичугский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Вожегодский муниципальный округ,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Вознесенский муниципальный округ,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Вологодский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Володарский муниципальный округ,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10
Волосовский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Волховский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10
Волчихинский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Вольский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Воскресенский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Воскресенский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Вохомский муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Всеволожский муниципальный район,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Вурнарский муниципальный округ,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,11,11,11,11
Выборгский муниципальный район,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,10,10
Высокогорский муниципальный район,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10
Вытегорский муниципальный район,3,3,0,0,0,0,0,0,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Вязниковский муниципальный район,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,10,10,10,10,10
Вятскополянский муниципальный район,3,3,3,3,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,11
Гаврилов-Ямский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,11,11,11,11
Гаврилово-Посадский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Гавриловский муниципальный округ,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Гагаринский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10
Гагинский муниципальный округ,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Газимуро-Заводский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Галичский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Гатчинский муниципальный район,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
Гафурийский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,11,11,11,11,11,11,11,11
Гдовский муниципальный район,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,10,10,10,10
Георгиевский муниципальный округ,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,6,6,6,10,10,10
Гиагинский муниципальный район,3,3,3,3,3,3,0,0,0,0,0,0,7,7,7,7,11,11,11,11,11,11,11,11
Глазуновский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Глинковский муниципальный район,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11
Горномарийский муниципальный район,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,11,11,11
Горный муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Городецкий муниципальный округ,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,10,10,10,10,10,10
Городовиковский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Гороховецкий муниципальный район,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11
Горьковский муниципальный район,3,3,3,3,3,3,3,0,0,0,0,0,7,7,11,11,11,11,11,11,11,11,11,11
Грачёвский муниципальный округ,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11,11
Грачёвский муниципальный район,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,11,11,11,11,11,11,11,11
Грязинский муниципальный район,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,10,10,10,10,10
Грязовецкий муниципальный округ,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,11,11,11,11,11,11,11,11,11
