ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI,largest_community_n_Dec,largest_community_share_Dec,mode,seed,louvain_seed,gamma,K,MQ,Q_resolution_0_5,AVI,AVU,Dec_K,Dec_MQ,Dec_Q_resolution_0_5,Dec_AVI,Dec_AVU
0.4992756741551511,0.6549630172401756,0.471495509530387,0.7008372938144475,11,9,1.6066176470588236,2.0,0.20798319327731093,0.7678571428571429,0.8479446734748158,0.8738824246018162,636,0.33403361344537813,optimizer_only,17,17,0.5,,,,,,,,,,
0.5469426231327503,0.6792321369515559,0.8670271837064175,0.8514550618106925,11,9,1.7153361344537814,2.0,0.21796218487394958,0.7888655462184874,0.8395841433944019,0.8736186116315463,907,0.47636554621848737,optimizer_only,18,18,0.5,,,,,,,,,,
0.44287881203810436,0.6148673645143011,0.7444710262679853,0.7351050874020953,10,7,1.7100840336134453,2.0,0.19852941176470587,0.7815126050420168,0.8527250269153075,0.8720106131924148,862,0.4527310924369748,optimizer_only,19,19,0.5,,,,,,,,,,
0.5688699266484374,0.6752610910334176,0.7047769940063069,0.7921104565231675,12,9,1.584033613445378,1.0,0.15913865546218486,0.7993697478991597,0.8618571888287978,0.878845737632479,787,0.41334033613445376,graph_only,0,0,0.5,,,,,,,,,,
0.5375380524239249,0.6124896161077242,0.8427040786645768,0.8001859904402866,13,10,2.376575630252101,2.0,0.0015756302521008404,0.7048319327731093,0.8251124848159388,0.837978656069769,1000,0.5252100840336135,graph_only,1,0,0.5,,,,,,,,,,
0.5494070131982997,0.6291179608986424,0.6971958402861109,0.7263912097588476,13,10,1.3797268907563025,1.0,0.18277310924369747,0.8335084033613446,0.8764376681974779,0.8839952263359259,795,0.4175420168067227,graph_only,2,0,0.5,,,,,,,,,,
0.5024661785034809,0.6240907817276572,0.7110834800485563,0.6941046140439943,15,10,2.8471638655462184,3.0,0.0021008403361344537,0.38918067226890757,0.8185850466547859,0.8312911778136759,949,0.49842436974789917,graph_only,3,0,0.5,,,,,,,,,,
0.33470957121209305,0.4995341002722876,0.5047453821313043,0.560006292627429,13,8,3.2536764705882355,3.0,0.004201680672268907,0.08665966386554622,0.7592411297627465,0.7815033515022082,1301,0.6832983193277311,graph_only,4,0,0.5,,,,,,,,,,
0.5319798160201972,0.6258815420682236,0.5465199237698863,0.7197531508825059,11,8,2.297268907563025,2.0,0.0015756302521008404,0.729516806722689,0.8359200586983918,0.8417247085756042,662,0.3476890756302521,graph_only,5,0,0.5,,,,,,,,,,
0.5869922878675791,0.6959923021439279,0.8885720355622119,0.8362342090149552,11,9,1.6165966386554622,2.0,0.1948529411764706,0.8482142857142857,0.8609919568760693,0.8815872023031087,964,0.5063025210084033,graph_only,6,0,0.5,,,,,,,,,,
0.4771780042426456,0.6407818600274015,0.7923065555782752,0.7856595249102442,14,9,1.9285714285714286,2.0,0.045168067226890755,0.7457983193277311,0.8377499943006268,0.8606442309224991,907,0.47636554621848737,graph_only,7,0,0.5,,,,,,,,,,
