month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2023-04-01,0.5995653624153455,0.6636110113620699,7,combined,2,2,0.5,0.890273840637218,0.876566023678445,0.9548319327731093
2023-05-01,0.6068161941725082,0.6536648675928217,7,combined,2,2,0.5,0.8981740619595583,0.8975329371613077,0.960609243697479
2023-06-01,0.618941413823897,0.6694145884954292,8,combined,2,2,0.5,0.9034206693448823,0.8915818918297179,0.9600840336134454
2023-07-01,0.5943280559260324,0.6667660493245423,9,combined,2,2,0.5,0.92782854808676,0.9022050355968525,0.9642857142857143
2023-08-01,0.5659192123380552,0.6691943676979646,10,combined,2,2,0.5,0.926707564284024,0.8995732663665225,0.9653361344537815
2023-09-01,0.5559350462521988,0.6713572363063955,11,combined,2,2,0.5,0.9017519683224355,0.891170159335228,0.9553571428571429
2023-10-01,0.5409503531682338,0.6643922297442336,11,combined,2,2,0.5,0.871581083215879,0.8823484470857497,0.9432773109243697
2023-11-01,0.526990450644855,0.6664555043887771,12,combined,2,2,0.5,0.8547034730418916,0.8548477456977611,0.9290966386554622
2023-12-01,0.48061232358705597,0.651115622962873,12,combined,2,2,0.5,0.8794232490222983,0.8767852863273995,0.9348739495798319
2024-01-01,0.43213539617763935,0.6321794027891131,12,combined,2,2,0.5,0.8431517732410478,0.851364740026084,0.9206932773109243
2024-02-01,0.4264650878064935,0.6047270522633569,12,combined,2,2,0.5,0.8186047090113964,0.8446455605517228,0.8907563025210085
2024-03-01,0.34723021885822153,0.5690175682896821,12,combined,2,2,0.5,0.6364147132703174,0.7855508935573683,0.7883403361344538
2024-04-01,0.3001936743016273,0.531683655832868,13,combined,2,2,0.5,0.6211206735134885,0.7648073967443475,0.7935924369747899
2024-05-01,0.3710313935917261,0.5591137135498001,13,combined,2,2,0.5,0.7881797057073897,0.8165960046050177,0.8792016806722689
2024-06-01,0.3800748068659226,0.5960522802307774,11,combined,2,2,0.5,0.9131436015896109,0.8933890744664441,0.9590336134453782
2024-07-01,0.3941515003463297,0.6221381735661285,11,combined,2,2,0.5,0.9362172712593326,0.9135039187458805,0.9716386554621849
2024-08-01,0.4035518036279224,0.6289446869349864,11,combined,2,2,0.5,0.9307496543239008,0.9218656457035708,0.9742647058823529
2024-09-01,0.4078647657920538,0.6396694531157111,11,combined,2,2,0.5,0.9212037346421568,0.9045976066141627,0.9690126050420168
2024-10-01,0.4213104885447782,0.640683685323027,11,combined,2,2,0.5,0.93627611613401,0.9140372892830505,0.9721638655462185
2024-11-01,0.4446128215330966,0.650164492206792,11,combined,2,2,0.5,0.8831537434350508,0.877640127915535,0.9564075630252101
2024-12-01,0.4446128215330966,0.650164492206792,11,combined,2,2,0.5,1.0,1.0,1.0
2023-01-01,0.6214983920446799,0.7172419524388689,6,combined,3,3,0.5,,,
2023-02-01,0.6214983920446799,0.7172419524388689,6,combined,3,3,0.5,1.0,1.0,1.0
2023-03-01,0.6428130257720838,0.7087281427668162,6,combined,3,3,0.5,0.9291666007429613,0.8985507727858792,0.9705882352941176
2023-04-01,0.6719784843647116,0.7013151446851449,6,combined,3,3,0.5,0.9198629552119106,0.891673858055042,0.9679621848739496
2023-05-01,0.6831703022978248,0.6871024991261461,7,combined,3,3,0.5,0.8828492218842512,0.8663759830718459,0.9537815126050421
2023-06-01,0.6659194220331818,0.6768738680399479,7,combined,3,3,0.5,0.9138762197887554,0.9013958793216681,0.9600840336134454
2023-07-01,0.632026905935567,0.6794650247512081,7,combined,3,3,0.5,0.9117627893871982,0.8888872138689035,0.9564075630252101
2023-08-01,0.5562293247395137,0.664739077421064,7,combined,3,3,0.5,0.8706127707754526,0.8668815244231146,0.9406512605042017
2023-09-01,0.531738402492983,0.6664351744368455,7,combined,3,3,0.5,0.8613554952746112,0.8700475910851263,0.9438025210084033
2023-10-01,0.5246035419428628,0.6719991147048133,7,combined,3,3,0.5,0.9154615088321213,0.8984650797022383,0.9621848739495799
2023-11-01,0.4853082436843672,0.6547398328982597,7,combined,3,3,0.5,0.9331971374182417,0.9120061754282068,0.9695378151260504
2023-12-01,0.4337110850547399,0.634417867447205,7,combined,3,3,0.5,0.9077148403125648,0.9025520732121363,0.9616596638655462
2024-01-01,0.3616213102606498,0.5940939258310715,9,combined,3,3,0.5,0.8650893512266992,0.882244627309489,0.9432773109243697
2024-02-01,0.3528269684518804,0.5758992619455887,9,combined,3,3,0.5,0.8661586737322042,0.8993774170530245,0.9396008403361344
2024-03-01,0.34418733828221837,0.570690196721798,9,combined,3,3,0.5,0.7573655456663607,0.8361327664244131,0.8644957983193278
2024-04-01,0.41644215110988575,0.590069575688673,11,combined,3,3,0.5,0.7576037991299958,0.8258803010779394,0.8287815126050421
2024-05-01,0.4081702029723378,0.5879985284572858,12,combined,3,3,0.5,0.9866454355783584,0.9724345531767247,0.9868697478991597
2024-06-01,0.024521655791145413,0.07860657123800797,12,combined,3,3,0.5,0.02170111498481064,0.13113990063389916,0.3004201680672269
2024-07-01,0.6944914870284282,0.6363943220691157,11,combined,3,3,0.5,0.043666200988130136,0.17805507999566342,0.0430672268907563
2024-08-01,0.6845827611451756,0.649846732348773,10,combined,3,3,0.5,0.9867389733637818,0.9713770637591952,0.993172268907563
2024-09-01,0.6872445614292517,0.6696734768069087,9,combined,3,3,0.5,0.9654236662952813,0.9350827517390372,0.9858193277310925
2024-10-01,0.6780240450763488,0.6721014892468129,8,combined,3,3,0.5,0.9809902503451564,0.9637263892046971,0.9936974789915967
2024-11-01,0.6723129000646803,0.6781351627354104,8,combined,3,3,0.5,0.9802907787468101,0.9607903201880046,0.993172268907563
2024-12-01,0.6723129000646803,0.6781351627354104,8,combined,3,3,0.5,1.0,1.0,1.0
2023-01-01,0.22191007304982643,0.4226320395759492,5,combined,4,4,0.5,,,
2023-02-01,0.22191007304982643,0.4226320395759492,5,combined,4,4,0.5,1.0,1.0,1.0
2023-03-01,0.2204184439003643,0.4140026542040782,6,combined,4,4,0.5,0.9919952331853676,0.9815506887434439,0.9978991596638656
2023-04-01,0.0015877615805030606,0.01301205645366908,8,combined,4,4,0.5,0.02396615660687143,0.06146976968594835,0.805672268907563
2023-05-01,0.0013208775343910963,0.020096906679551912,8,combined,4,4,0.5,0.6207466185473528,0.5951517729078454,0.9900210084033614
2023-06-01,0.5224032216951624,0.6419820731501558,10,combined,4,4,0.5,0.004668256974397125,0.053486220522262935,0.01838235294117647
2023-07-01,0.5097491376999703,0.652056564369122,10,combined,4,4,0.5,1.0,1.0,1.0
2023-08-01,0.48018890424353095,0.6455370807510796,8,combined,4,4,0.5,0.8871564624740405,0.8937897794307375,0.9585084033613446
2023-09-01,0.48295521781986983,0.6453964536969073,9,combined,4,4,0.5,0.9310887800903402,0.9197835910584178,0.9737394957983193
2023-10-01,0.48172101944318385,0.6457861084749763,9,combined,4,4,0.5,0.9355106634283223,0.9180923342550615,0.9747899159663865
2023-11-01,0.47728549215866656,0.6342022730922373,9,combined,4,4,0.5,0.924621383709832,0.905200099199226,0.9705882352941176
2023-12-01,0.4620892423149252,0.6177509986508541,9,combined,4,4,0.5,0.91980272594814,0.9013913176734691,0.9663865546218487
2024-01-01,0.42780392066844164,0.6191711102310355,9,combined,4,4,0.5,0.908344065189599,0.8788545389852402,0.9411764705882353
2024-02-01,0.4185445762842522,0.6070908118556682,9,combined,4,4,0.5,0.8825860161216117,0.8636965228991147,0.9217436974789915
2024-03-01,0.39896290553961533,0.6205558235665126,9,combined,4,4,0.5,0.7857429628174335,0.8317326397071916,0.8881302521008403
