mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
combined,run,all,share_le2_switches,50,0.7463970588235295,0.8156512605042017,0.21498192133047586,0.011029411764705883,0.9180672268907563,0.15341386554621853,0.5327205882352941,0.758797268907563,0.8554359243697478,0.8815126050420168,0.8923844537815127
graph_only,run,all,ARI_all_supra,20,0.4904116259660062,0.49726483715887665,0.07515465643612819,0.33470957121209305,0.6107568616465989,0.3632897212282675,0.3887895682290062,0.444505870596155,0.5438914894625272,0.5706821627703516,0.58818051655653
graph_only,run,all,NMI_all_supra,20,0.6198782578142367,0.6249861618979404,0.05390247739423592,0.4995341002722876,0.6959923021439279,0.5285332726696291,0.5525503376727747,0.5937846947671173,0.6647153143209255,0.6793880320765392,0.6826872530352462
graph_only,run,all,ARI_Dec2024,20,0.7331648580085541,0.724098046077402,0.09335953895146296,0.5047453821313043,0.8885720355622119,0.5444311966879573,0.6583767368447073,0.702881705576258,0.7960101558959733,0.8431001511975027,0.8487601655722549
graph_only,run,all,NMI_Dec2024,20,0.737443133627705,0.7541299441213984,0.07472808824466684,0.560006292627429,0.850795657299279,0.6228800949350275,0.6359501494986777,0.6903609255286868,0.7896874531026962,0.8037908122977535,0.8369622814291714
graph_only,run,all,K_supra,20,12.6,13.0,1.6670175069329813,10.0,17.0,10.0,10.9,11.75,13.0,14.100000000000001,15.100000000000001
graph_only,run,all,K_Dec2024,20,9.15,9.0,0.9880869341680844,7.0,11.0,7.95,8.0,8.75,10.0,10.0,10.05
graph_only,run,all,largest_community_n_Dec,20,963.7,956.5,148.59414878329355,662.0,1301.0,780.75,794.2,874.25,1073.25,1128.9,1145.2
graph_only,run,all,largest_community_share_Dec,20,0.5061449579831934,0.5023634453781513,0.07804314536937688,0.3476890756302521,0.6832983193277311,0.4100577731092437,0.4171218487394958,0.45916491596638653,0.5636817226890756,0.5929096638655462,0.6014705882352942
graph_only,run,all,mean_switches,20,2.1047006302521014,1.7851890756302522,0.6868064043869064,1.3797268907563025,4.053571428571429,1.448581932773109,1.5708508403361343,1.6299894957983194,2.397715336134454,2.8878151260504206,3.2936712184873955
