month,ARI,NMI,K,seed,adjacent_ARI,adjacent_NMI,same_label_share
2023-01-01,0.005182948566690314,0.041511870016832084,8,10,,,
2023-02-01,0.005378285776516065,0.04620180349923706,8,10,0.9454510517378104,0.9125924780221324,0.9978991596638656
2023-03-01,0.6616896173858502,0.6953305748121524,9,10,0.010903391125621692,0.05843049940112775,0.026785714285714284
2023-04-01,0.7142286119225317,0.7219332667859366,10,10,0.9918164961704202,0.9840029038503221,0.9936974789915967
2023-05-01,0.7188700572169281,0.7158222938205425,9,10,0.9132925688183039,0.8828449215449088,0.9600840336134454
2023-06-01,0.7137880247591747,0.7269398534843062,10,10,0.9254935479750933,0.9103574786641889,0.9695378151260504
2023-07-01,0.682764566777666,0.7212590414308667,10,10,0.9462053495766897,0.9300276571008771,0.976890756302521
2023-08-01,0.5913242430613893,0.7003854819757308,10,10,0.9047243021939662,0.8957875718842881,0.9585084033613446
2023-09-01,0.5792144344632679,0.7097849278007377,10,10,0.8637600755094614,0.8762586087106402,0.9411764705882353
2023-10-01,0.5856920797577271,0.7065526345062189,11,10,0.8261111259889203,0.8563517882642652,0.9290966386554622
2023-11-01,0.5645917338848562,0.699179506817828,11,10,0.8245474403671833,0.854211353623751,0.9285714285714286
2023-12-01,0.5387619260117457,0.7040159992472025,11,10,0.8460141507154503,0.862171146078219,0.9348739495798319
2024-01-01,0.43449435630156313,0.6475736852626752,12,10,0.862197941498483,0.8705897241859494,0.9327731092436975
2024-02-01,0.3528217818760539,0.604423589415321,13,10,0.7639023359685368,0.8357428100608554,0.8634453781512605
2024-03-01,0.36655501119867306,0.6097307602619917,13,10,0.7310580085660495,0.8271885694561446,0.8350840336134454
2024-04-01,0.4795817031961023,0.6363140680684534,13,10,0.7761210740700267,0.834263378661547,0.8718487394957983
2024-05-01,0.5147877367252879,0.6570070584563538,13,10,0.9168229253682488,0.9055939240121975,0.9585084033613446
2024-06-01,0.5254079998925827,0.6833165064578314,11,10,0.9070510240046448,0.8954615336093822,0.9600840336134454
2024-07-01,0.5505168870154726,0.704608262543066,11,10,0.9283968287495095,0.9180020794238603,0.9711134453781513
2024-08-01,0.6141269588796044,0.7285297604827028,11,10,0.8936431566286894,0.9016739122129992,0.9595588235294118
2024-09-01,0.6881241643558013,0.7444523309141542,11,10,0.8567987459250077,0.8755687021986908,0.944327731092437
2024-10-01,0.7500960695745099,0.7487360313815354,11,10,0.8005782679952383,0.8468946576457019,0.9206932773109243
2024-11-01,0.7837939143542038,0.7848901050491044,11,10,0.8078441259408403,0.8332128482365743,0.9159663865546218
2024-12-01,0.7837939143542038,0.7848901050491044,11,10,1.0,1.0,1.0
2023-01-01,0.6326685472275002,0.6725150164872521,6,11,,,
