scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95,share_ge_0.90,share_ge_0.80,share_ge_0.70,share_ge_0.50
archetype,B,precision,50,0.6145776954211677,0.6227305737109659,0.2824970152009738,0.05114544485881726,1.0,0.24680476190476192,0.33691385076692426,0.34446717500464946,0.8596491228070176,1.0,1.0,,,,
archetype,B,Jaccard,50,0.601487178885548,0.5779793398841018,0.2766563182979579,0.05109100585417775,1.0,0.21628230131643103,0.33691385076692426,0.34446717500464946,0.8596491228070176,0.9898062255205112,1.0,,,,
archetype,B,within_pair_coassignment,50,0.963757626762045,1.0,0.11926705763102496,0.5001051967178624,1.0,0.6335682726698927,0.9775930990953082,1.0,1.0,1.0,1.0,,,,
archetype,B,n_destinations,50,1.16,1.0,0.3703280399090206,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,
archetype,C,retention,50,0.7186206896551723,0.6551724137931034,0.14163910837420254,0.5862068965517241,1.0,0.5862068965517241,0.5862068965517241,0.6206896551724138,0.8879310344827587,0.9310344827586207,0.95,0.16,0.32,0.34,1.0
archetype,C,precision,50,0.8393131386968362,1.0,0.2952948808176715,0.01072961373390558,1.0,0.028470772442588728,0.4628897944720058,0.7940340909090908,1.0,1.0,1.0,,,,
archetype,C,Jaccard,50,0.5899290715372217,0.6206896551724138,0.2058905483851674,0.010678056593699947,0.9,0.028059439661811774,0.4373873873873875,0.5862068965517241,0.6811140408701385,0.7267857142857143,0.8289215686274509,,,,
archetype,C,within_pair_coassignment,50,0.5821674876847291,0.49014778325123154,0.18659574937326798,0.4064039408866995,1.0,0.4088669950738916,0.41576354679802957,0.4482758620689655,0.7869458128078818,0.8669950738916257,0.9022167487684727,,,,
archetype,C,n_destinations,50,3.22,3.0,0.8154127538760192,1.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,,,,
archetype,D,retention,50,0.9758169934640523,0.9869281045751634,0.034236623935199086,0.8235294117647058,1.0,0.9049019607843137,0.9215686274509803,0.9754901960784313,0.9934640522875817,1.0,1.0,0.96,1.0,1.0,1.0
archetype,D,precision,50,0.5116609246776777,0.45812079213246437,0.24388422401222878,0.08098028769312733,0.9931972789115646,0.24565323465490685,0.29767675258659987,0.3285882607545627,0.6514505451713396,0.941,0.9603020058598152,,,,
archetype,D,Jaccard,50,0.4993048541706833,0.44805559893799785,0.2288642636074262,0.08093716719914804,0.948051948051948,0.24527763314978726,0.29602918820310126,0.32644294664894624,0.6251275380063259,0.8632870370370371,0.93999032492139,,,,
archetype,D,within_pair_coassignment,50,0.9544805641554867,0.9740282077743379,0.06032595067306644,0.7074303405572755,1.0,0.8242733058135535,0.8542569659442725,0.9518403852769178,0.9869281045751634,1.0,1.0,,,,
archetype,D,n_destinations,50,2.02,2.0,0.6848208465261076,1.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,,,,
archetype,E,retention,50,0.8726881720430107,0.9086021505376344,0.14475817530710086,0.5645161290322581,1.0,0.6147849462365591,0.6236559139784946,0.7473118279569892,0.9946236559139785,1.0,1.0,0.6,0.72,0.78,1.0
archetype,E,precision,50,0.7628877042254889,0.7512790240062968,0.22643574927512153,0.09909429941395845,1.0,0.50874943000456,0.5344177057930336,0.6347824179680646,0.9759116377330761,0.984810266622414,0.9914007466892083,,,,
archetype,E,Jaccard,50,0.6834200830393755,0.6645545314900154,0.21636858041189072,0.09909429941395845,0.9738219895287958,0.3737583395107487,0.4073943661971831,0.6180619486557981,0.8782826912642431,0.9020234864160375,0.9594357026587086,,,,
archetype,E,within_pair_coassignment,50,0.8153513513513514,0.8320836965998256,0.18427836926650584,0.5010171461784365,1.0,0.5175443185120604,0.5280441732054635,0.6063353676256902,0.989247311827957,1.0,1.0,,,,
archetype,E,n_destinations,50,2.48,3.0,0.8861749953869041,1.0,4.0,1.0,1.0,2.0,3.0,3.1000000000000014,4.0,,,,
archetype,F,retention,50,0.7028134556574925,0.6437308868501529,0.19700039213401413,0.3547400611620795,0.9877675840978594,0.4859327217125382,0.4923547400611621,0.5160550458715596,0.9174311926605504,0.9547400611620795,0.9711009174311926,0.3,0.4,0.44,0.82
archetype,F,precision,50,0.4767619695373152,0.5050724637681159,0.23066185082678348,0.12121212121212122,0.9587301587301588,0.15420559534733874,0.16486403830694488,0.2644278618427115,0.6114456300813008,0.8247199785050967,0.8809295199182838,,,,
archetype,F,Jaccard,50,0.4009165523969318,0.366831119544592,0.2111971575172315,0.09931506849315068,0.888235294117647,0.13627560418146226,0.14756200725904398,0.21573602100710534,0.5475370771884374,0.707416682269238,0.772816679779701,,,,
archetype,F,within_pair_coassignment,50,0.6272861672388886,0.5138271326991989,0.2035968956448561,0.28430986285435544,0.975685259188383,0.3862863736140035,0.40631132624153393,0.47802105026172115,0.8455892009530779,0.9124781899026285,0.9434869889870734,,,,
archetype,F,n_destinations,50,3.88,4.0,0.7182745765700876,3.0,5.0,3.0,3.0,3.0,4.0,5.0,5.0,,,,
archetype,G,retention,50,0.9063419689119172,0.9751295336787564,0.1456993419792234,0.5098445595854922,0.9989637305699481,0.5389119170984455,0.6229015544041451,0.8772020725388601,0.9968911917098445,0.9989637305699481,0.9989637305699481,0.7,0.86,0.86,1.0
archetype,G,precision,50,0.8930402061871401,0.8987430342776255,0.10899811892163386,0.512519978689398,1.0,0.7416478370947105,0.7828001678469387,0.8463353527074149,0.9840783723762447,0.9942945432071836,0.9963782344481682,,,,
archetype,G,Jaccard,50,0.8127641568695849,0.8515453670793476,0.14524645333136563,0.4314410480349345,0.964984552008239,0.4853454627471619,0.5310354885755956,0.8109359646365533,0.9019868796946603,0.9467480992827425,0.9577741436827119,,,,
archetype,G,within_pair_coassignment,50,0.8684965063530626,0.9511437662588953,0.17219514064932667,0.45490723023670804,0.9979274611398964,0.4987031582568314,0.4999335669597747,0.7820921032829532,0.9937904456818524,0.9979274611398964,0.9979274611398964,,,,
archetype,G,n_destinations,50,3.2,3.0,0.7824607964359516,2.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,,,,
pair,A/B,cross_coassignment,50,0.03972065421913446,0.0,0.1819767002608451,0.0,0.9266174554928355,0.0,0.0,0.0,0.0047944709798813144,0.014184397163120567,0.014184397163120567,,,,
pair,A/C,cross_coassignment,50,0.10203961848862803,0.011983370017119101,0.21015937129826542,0.0,0.9244314013206163,0.0,0.0,0.002384446074834923,0.03967962827097089,0.27314746881878216,0.6170212765957445,,,,
