pair,cross_coassignment,seed
E/G,0.0,28
F/G,0.2645339164329515,28
A/B,0.0,29
A/C,0.012227928588897041,29
A/D,0.06318082788671024,29
A/E,0.014184397163120567,29
A/F,0.0519660789034203,29
A/G,0.0007643405725204865,29
B/C,0.0,29
B/D,0.0,29
B/E,0.0,29
B/F,0.0,29
B/G,0.0,29
C/D,0.0,29
C/E,0.0,29
C/F,0.011494252873563218,29
C/G,0.0344112917634447,29
D/E,0.013071895424836602,29
D/F,0.6760608422777877,29
D/G,0.011249957668732432,29
E/F,0.0,29
E/G,0.0,29
F/G,0.3067991316886121,29
A/B,0.0,30
A/C,0.012227928588897041,30
A/D,0.8807305428081398,30
A/E,0.31457332418210937,30
A/F,0.3292775500466307,30
A/G,0.03542424576489178,30
B/C,0.0,30
B/D,0.006535947712418301,30
B/E,0.6451612903225806,30
B/F,0.0,30
B/G,0.0,30
C/D,0.0,30
C/E,0.0,30
C/F,0.21933987134872932,30
C/G,0.34454171877791673,30
D/E,0.3567362428842505,30
D/F,0.34330714956726827,30
D/G,0.0,30
E/F,0.12262010456742627,30
E/G,0.0,30
F/G,0.6323873809636988,30
A/B,0.0,31
A/C,0.0004891171435558817,31
A/D,0.007045844342465119,31
A/E,0.0,31
A/F,0.08113735441473095,31
A/G,0.007077499724396428,31
B/C,0.0,31
B/D,6.669334400426837e-05,31
B/E,0.09441518542901031,31
B/F,0.0,31
B/G,0.0,31
C/D,0.0,31
C/E,0.0,31
C/F,0.05462406411473163,31
C/G,0.06978738609969627,31
D/E,0.0059385761473048,31
D/F,0.021266814574963523,31
D/G,0.0,31
E/F,0.0005918910920390648,31
E/G,5.571341021783943e-06,31
F/G,0.7905214621856729,31
A/B,0.014184397163120567,32
A/C,0.30154071900220103,32
A/D,0.014184397163120567,32
A/E,0.014184397163120567,32
A/F,0.04014574793415317,32
A/G,0.0027780840039686914,32
B/C,0.0,32
B/D,0.006535947712418301,32
B/E,0.989247311827957,32
B/F,0.0,32
B/G,0.0,32
C/D,0.0,32
C/E,0.0,32
C/F,0.009490667510281556,32
C/G,0.03319635519028051,32
D/E,0.017148077869140486,32
D/F,0.9387779576662469,32
D/G,0.0535338142165329,32
E/F,0.010160797080003945,32
E/G,0.0005794194662655302,32
F/G,0.07695964253458193,32
A/B,0.0,33
A/C,0.025434091464905845,33
A/D,0.09219858156028368,33
A/E,0.03172424311751697,33
A/F,0.056043550870800526,33
A/G,2.939771432771102e-05,33
B/C,0.0,33
B/D,0.0,33
B/E,0.005376344086021506,33
B/F,0.0,33
B/G,0.0,33
C/D,0.0,33
C/E,0.0,33
C/F,0.005483496783718233,33
C/G,0.051527604073610865,33
D/E,0.34408602150537637,33
D/F,0.4892966360856269,33
D/G,0.0,33
E/F,0.16836013284666732,33
E/G,0.0,33
F/G,0.2510307236456402,33
A/B,0.014184397163120567,34
A/C,0.007825874296894107,34
A/D,0.05775738191257591,34
A/E,0.014184397163120567,34
A/F,0.813737610341163,34
A/G,0.009826186014037409,34
B/C,0.0,34
B/D,0.08496732026143791,34
B/E,1.0,34
B/F,0.0,34
B/G,0.0,34
C/D,0.0,34
C/E,0.0,34
C/F,0.014552356849098386,34
C/G,0.09244237984634626,34
D/E,0.08496732026143791,34
D/F,0.011792688533109472,34
D/G,9.482203935114633e-05,34
E/F,0.0,34
E/G,0.0,34
F/G,0.05668108570613681,34
A/B,0.0,35
A/C,0.041085840058694055,35
A/D,0.014045334445835072,35
A/E,0.006520247083047358,35
A/F,0.12232415902140673,35
A/G,4.409657149156653e-05,35
B/C,0.0,35
B/D,0.0,35
B/E,0.08602150537634409,35
B/F,0.0,35
B/G,0.0,35
C/D,0.0,35
C/E,0.0,35
C/F,0.02710112833491511,35
C/G,0.03541182776487404,35
D/E,0.023086654016445288,35
D/F,0.4946932901601007,35
D/G,0.0,35
E/F,0.0027128341718457138,35
E/G,0.0,35
F/G,0.35707245963461204,35
A/B,0.014184397163120567,36
A/C,0.031792614331132306,36
A/D,0.0002781254345709915,36
A/E,0.014108136963318843,36
A/F,0.005921009824972347,36
A/G,3.674714290963877e-05,36
B/C,0.0,36
B/D,0.0196078431372549,36
B/E,0.9946236559139785,36
B/F,0.0,36
B/G,0.0,36
C/D,0.0,36
C/E,0.0,36
C/F,0.06316566487398502,36
C/G,0.10405574414865107,36
D/E,0.02445709466582332,36
D/F,0.04503208011033159,36
D/G,6.09570252971655e-05,36
E/F,0.00013153135378645884,36
E/G,0.0,36
F/G,0.5826813075375132,36
A/B,0.0,37
A/C,0.10271460014673514,37
A/D,0.9929078014184397,37
A/E,0.010676427972241288,37
A/F,0.44943284100028197,37
A/G,0.0010289200014698856,37
B/C,0.0,37
