archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
G,965,7,519,516,0.5347150259067357,0.9942196531791908,0.5330578512396694,0.4999699008879238,4,27
A,141,4,137,128,0.9078014184397164,0.9343065693430656,0.8533333333333334,0.8291793313069908,3,28
B,98,6,211,98,1.0,0.4644549763033175,0.4644549763033175,1.0,1,28
C,29,1,21,19,0.6551724137931034,0.9047619047619048,0.6129032258064516,0.4926108374384236,3,28
D,153,9,323,150,0.9803921568627452,0.4643962848297213,0.4601226993865031,0.9613003095975232,2,28
E,186,6,211,113,0.6075268817204301,0.5355450236966824,0.397887323943662,0.5122348154606219,4,28
F,327,9,323,160,0.4892966360856269,0.4953560371517028,0.3265306122448979,0.4748316166676047,3,28
G,965,10,692,525,0.5440414507772021,0.7586705202312138,0.4637809187279152,0.4996065616064326,4,28
A,141,10,128,125,0.8865248226950354,0.9765625,0.8680555555555556,0.7899696048632219,4,29
B,98,7,98,98,1.0,1.0,1.0,1.0,1,29
C,29,8,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,29
D,153,9,397,151,0.9869281045751634,0.380352644836272,0.3784461152882205,0.974028207774338,2,29
E,186,3,191,186,1.0,0.9738219895287958,0.9738219895287958,1.0,1,29
F,327,9,397,224,0.6850152905198776,0.5642317380352645,0.448,0.5596517888970188,4,29
G,965,5,1053,953,0.9875647668393782,0.9050332383665716,0.8948356807511737,0.9753896760045578,3,29
A,141,12,457,125,0.8865248226950354,0.2735229759299781,0.2642706131078224,0.7917933130699089,3,30
B,98,11,219,98,1.0,0.4474885844748858,0.4474885844748858,1.0,1,30
C,29,2,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4482758620689655,3,30
D,153,12,457,152,0.9934640522875816,0.3326039387308533,0.3318777292576419,0.9869281045751634,2,30
E,186,11,219,120,0.6451612903225806,0.547945205479452,0.4210526315789473,0.5396687009590235,2,30
F,327,10,1187,207,0.6330275229357798,0.1743892165122156,0.1583779648048967,0.5189396071368267,4,30
