archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
B,98,1,204,98,1.0,0.4803921568627451,0.4803921568627451,1.0,1,42
C,29,8,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,42
D,153,7,240,151,0.9869281045751634,0.6291666666666667,0.6239669421487604,0.9739422084623324,3,42
E,186,1,204,105,0.5645161290322581,0.5147058823529411,0.3684210526315789,0.5010171461784365,3,42
F,327,6,330,288,0.8807339449541285,0.8727272727272727,0.7804878048780488,0.7843192435413969,4,42
G,965,9,878,845,0.8756476683937824,0.9624145785876992,0.8466933867735471,0.7776965579515405,3,42
A,141,2,148,140,0.9929078014184396,0.945945945945946,0.9395973154362416,0.9858156028368794,2,43
B,98,5,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,43
C,29,6,33,28,0.9655172413793104,0.8484848484848485,0.8235294117647058,0.9310344827586208,2,43
D,153,9,345,150,0.9803921568627452,0.4347826086956521,0.4310344827586206,0.9611283109735124,3,43
E,186,10,170,167,0.8978494623655914,0.9823529411764704,0.8835978835978836,0.8126707352513804,4,43
F,327,9,345,176,0.5382262996941896,0.5101449275362319,0.3548387096774194,0.4797095739291945,4,43
G,965,8,1091,946,0.9803108808290156,0.8670944087992667,0.8522522522522522,0.961221593962978,4,43
A,141,7,152,140,0.9929078014184396,0.9210526315789472,0.915032679738562,0.9858156028368794,2,44
B,98,3,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,44
C,29,12,19,19,0.6551724137931034,1.0,0.6551724137931034,0.4926108374384236,3,44
D,153,9,289,152,0.9934640522875816,0.5259515570934256,0.5241379310344828,0.9869281045751634,2,44
E,186,8,182,168,0.9032258064516128,0.9230769230769232,0.84,0.822377215925603,3,44
F,327,10,674,171,0.5229357798165137,0.2537091988130563,0.2060240963855421,0.4396540402619088,4,44
G,965,10,674,494,0.5119170984455959,0.7329376854599406,0.4314410480349345,0.4987551867219917,3,44
A,141,4,137,92,0.6524822695035462,0.6715328467153284,0.4946236559139785,0.5124620060790274,4,45
B,98,6,96,81,0.826530612244898,0.84375,0.7168141592920354,0.7102882390069429,2,45
C,29,10,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4261083743842364,4,45
D,153,9,211,151,0.9869281045751634,0.7156398104265402,0.7089201877934272,0.974028207774338,2,45
E,186,8,181,163,0.8763440860215054,0.9005524861878453,0.7990196078431373,0.7747166521360069,4,45
F,327,12,957,116,0.3547400611620795,0.1212121212121212,0.0993150684931506,0.2843098628543554,5,45
G,965,12,957,839,0.8694300518134715,0.8766980146290491,0.7746999076638966,0.7724528626405521,3,45
A,141,12,151,137,0.9716312056737588,0.9072847682119204,0.8838709677419355,0.9440729483282676,3,46
B,98,7,206,98,1.0,0.4757281553398058,0.4757281553398058,1.0,1,46
C,29,8,20,20,0.6896551724137931,1.0,0.6896551724137931,0.5369458128078818,3,46
D,153,10,242,152,0.9934640522875816,0.628099173553719,0.6255144032921811,0.9869281045751634,2,46
E,186,7,206,108,0.5806451612903226,0.5242718446601942,0.380281690140845,0.5058994478349317,3,46
F,327,11,606,312,0.9541284403669724,0.5148514851485149,0.5024154589371981,0.9113712688317293,3,46
G,965,9,676,675,0.6994818652849741,0.9985207100591716,0.6987577639751553,0.5785285834067895,3,46
A,141,11,664,140,0.9929078014184396,0.2108433734939759,0.2105263157894736,0.9858156028368794,2,47
B,98,12,283,98,1.0,0.3462897526501767,0.3462897526501767,1.0,1,47
C,29,11,664,27,0.9310344827586208,0.0406626506024096,0.0405405405405405,0.8669950738916257,2,47
D,153,11,664,151,0.9869281045751634,0.2274096385542168,0.2267267267267267,0.974028207774338,2,47
E,186,12,283,183,0.9838709677419356,0.6466431095406361,0.6398601398601399,0.9680906713164776,2,47
F,327,11,664,317,0.9694189602446484,0.4774096385542168,0.4703264094955489,0.9402262621714416,3,47
G,965,14,949,938,0.9720207253886012,0.98840885142255,0.9610655737704918,0.9454948079031668,3,47
A,141,10,170,123,0.8723404255319149,0.7235294117647059,0.6542553191489362,0.7668693009118541,4,48
B,98,8,252,57,0.5816326530612245,0.2261904761904762,0.1945392491467577,0.5083105407111298,2,48
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4236453201970443,4,48
D,153,3,320,149,0.9738562091503268,0.465625,0.4598765432098765,0.9487444100447197,2,48
E,186,8,252,186,1.0,0.7380952380952381,0.7380952380952381,1.0,1,48
F,327,3,320,151,0.4617737003058104,0.471875,0.3044354838709677,0.3796926886925198,5,48
G,965,9,1087,954,0.98860103626943,0.8776448942042319,0.8688524590163934,0.9773826672113172,4,48
A,141,3,191,138,0.9787234042553192,0.7225130890052356,0.711340206185567,0.9580547112462006,2,49
B,98,1,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,49
C,29,6,26,25,0.8620689655172413,0.9615384615384616,0.8333333333333334,0.7463054187192119,3,49
D,153,4,422,153,1.0,0.3625592417061611,0.3625592417061611,1.0,1,49
E,186,10,168,167,0.8978494623655914,0.9940476190476192,0.893048128342246,0.8136006974716652,3,49
F,327,4,422,250,0.764525993883792,0.5924170616113744,0.501002004008016,0.6134969325153374,4,49
G,965,5,968,940,0.9740932642487048,0.9710743801652892,0.94662638469285,0.9490787521768108,5,49
