municipality,month,Total,level_z,Food,Health,Catering,Marketplace,Transport,Other,case,temporal_community_id
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-05-01,39946,1.9235948100523281,0.3623391578631152,0.05509938416862765,0.07287337906173334,0.09653031592650077,0.0756771641716317,0.3374805988083913,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-06-01,39954,1.8570662735154413,0.356860389447865,0.05353656705210993,0.07503629173549582,0.0951594333483506,0.07736396856384843,0.3420433498523302,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-07-01,41890,1.864518892038779,0.34285032227261875,0.049677727381236575,0.07565051324898543,0.09601336834566722,0.07858677488660779,0.3572212938648842,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-08-01,42505,1.815602988160628,0.33732502058581343,0.05126455711092812,0.07693212563227855,0.09780025879308317,0.08224914715915775,0.35442889071873895,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-09-01,41106,1.9027249164267235,0.33887996886099353,0.053763440860215055,0.07704471366710455,0.11292755315525714,0.07942879385004623,0.33795552960638353,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-10-01,42973,1.8917956842213992,0.33046331417401625,0.05764084425104135,0.0686942964186815,0.12901123961557256,0.07709492006608801,0.3370953854746003,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-11-01,43886,1.9936259681006352,0.3288975983229276,0.05660119400264321,0.06603472633641708,0.1519846875996901,0.07159458597274758,0.32488720776557445,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2023-12-01,50273,1.8854604112668591,0.3510631949555427,0.05330893322459372,0.06044994330952996,0.14972251506773018,0.06655660095876514,0.3188988124838382,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-01-01,39969,1.8515377840241778,0.35184768195351396,0.057144286822287275,0.07198078510845905,0.12402111636518302,0.07518326703194976,0.31982286271860694,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-02-01,42668,1.8576498600830258,0.3464422986781663,0.060912158995031405,0.07026342926783538,0.13054279553763945,0.06932595856379488,0.32251335895753264,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-03-01,47378,1.8313792363463441,0.34522352146565916,0.059521296804423994,0.07020135928067879,0.13326860568196208,0.06627548651272742,0.32550973025454855,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-04-01,46662,1.8972930988620942,0.341991341991342,0.059555955595559554,0.07237152286657238,0.12873430200162875,0.07265012215507265,0.3246967553898247,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-05-01,46733,1.8147156692703552,0.3513577129651424,0.053987546273511225,0.07579226670660989,0.12308219031519484,0.0738664327135001,0.32191385102604153,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-06-01,47749,1.8139663580255017,0.342687804980209,0.052022031875013086,0.07851473329284384,0.1223481120023456,0.07721627678066556,0.32721104106892285,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-07-01,49227,1.8114355066620882,0.3348365734251529,0.04899750137119873,0.08052491518881914,0.12174213338208707,0.07983423730879395,0.33406463932394825,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-08-01,49139,1.747542367209674,0.31990883005352166,0.04912594883900771,0.07879688231343739,0.1222857608009931,0.07828812145139298,0.3515944565416471,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-09-01,46980,1.7768568703342102,0.32243507875691785,0.05489570029799915,0.07686249467858663,0.12896977437207321,0.07656449553001277,0.3402724563644104,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-10-01,49233,1.79937957223921,0.3205167265858266,0.057298966140596756,0.07354822984583512,0.14142952897446834,0.0746450551459387,0.33256149330733453,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-11-01,49664,1.820818855419212,0.3244201030927835,0.056862113402061855,0.0701111469072165,0.15343105670103094,0.07146021262886598,0.3237153672680413,context_candidate_unverified,9
внутригородская территория города федерального значения муниципальный округ Текстильщики,2024-12-01,58134,1.7313700875520168,0.3361888051742526,0.049557917913785395,0.06282038050022362,0.16238345890528777,0.06493618192451922,0.3241132555819314,context_candidate_unverified,9
