month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2024-08-01,0.7824809685522642,0.7246013275872163,7,resolution,0,0,0.25,0.9763956748167051,0.9475355008521806,0.9868697478991597
2024-09-01,0.7794042234434398,0.7409367885655913,7,resolution,0,0,0.25,0.9576380334652517,0.9295511489647837,0.9821428571428571
2024-10-01,0.7523062834322617,0.7343691962797791,6,resolution,0,0,0.25,0.9639994179128003,0.9264760530433253,0.9826680672268907
2024-11-01,0.7338997435715371,0.7202054527923635,6,resolution,0,0,0.25,0.9672252887770206,0.9305491731186308,0.9852941176470589
2024-12-01,0.7338997435715371,0.7202054527923635,6,resolution,0,0,0.25,1.0,1.0,1.0
2023-01-01,1.0,1.0,8,resolution,0,0,0.5,,,
2023-02-01,1.0,1.0,8,resolution,0,0,0.5,1.0,1.0,1.0
2023-03-01,1.0,1.0,8,resolution,0,0,0.5,0.8928787338278015,0.8831965634244213,0.9548319327731093
2023-04-01,1.0,1.0,8,resolution,0,0,0.5,0.8936453199191968,0.8873167168568823,0.9548319327731093
2023-05-01,1.0,1.0,8,resolution,0,0,0.5,0.9081927216108525,0.8859961831748302,0.9569327731092437
2023-06-01,1.0,1.0,9,resolution,0,0,0.5,0.9206818537933602,0.9025595352878706,0.9627100840336135
2023-07-01,1.0,1.0,9,resolution,0,0,0.5,0.8677849460705443,0.8792362993489132,0.9453781512605042
2023-08-01,1.0,1.0,10,resolution,0,0,0.5,0.8272340726356029,0.8670435818141236,0.9338235294117647
2023-09-01,1.0,1.0,10,resolution,0,0,0.5,0.8539801320317375,0.880355648803121,0.9448529411764706
2023-10-01,1.0,1.0,11,resolution,0,0,0.5,0.8619417884598787,0.8697557677536951,0.9448529411764706
2023-11-01,1.0,1.0,11,resolution,0,0,0.5,0.8615690152223147,0.8802414744076826,0.9448529411764706
2023-12-01,1.0,1.0,11,resolution,0,0,0.5,0.8280341145149471,0.8594113768587823,0.9185924369747899
2024-01-01,1.0,1.0,12,resolution,0,0,0.5,0.7948283123688851,0.8456063441389148,0.8886554621848739
2024-02-01,1.0,1.0,12,resolution,0,0,0.5,0.698673203217349,0.8238958237317032,0.8555672268907563
2024-03-01,1.0,1.0,12,resolution,0,0,0.5,0.7338433076316604,0.8531979866294777,0.8939075630252101
2024-04-01,1.0,1.0,12,resolution,0,0,0.5,0.7299665704168649,0.8358396804752869,0.8834033613445378
2024-05-01,1.0,1.0,11,resolution,0,0,0.5,0.8276234967671241,0.8611364194707443,0.9112394957983193
2024-06-01,1.0,1.0,10,resolution,0,0,0.5,0.9169521062867697,0.8636703158680125,0.9185924369747899
2024-07-01,1.0,1.0,10,resolution,0,0,0.5,0.9586851280249002,0.9050113400318938,0.9522058823529411
2024-08-01,1.0,1.0,10,resolution,0,0,0.5,0.9491739477322458,0.9126032452518098,0.970063025210084
2024-09-01,1.0,1.0,10,resolution,0,0,0.5,0.9467632371153568,0.9103407730841749,0.970063025210084
2024-10-01,1.0,1.0,10,resolution,0,0,0.5,0.9529787918180571,0.9198828807047741,0.9753151260504201
2024-11-01,1.0,1.0,10,resolution,0,0,0.5,0.9663598583363521,0.937459182871889,0.9805672268907563
2024-12-01,1.0,1.0,10,resolution,0,0,0.5,1.0,1.0,1.0
2023-01-01,0.7716251722725903,0.7763843425384863,9,resolution,0,0,0.75,,,
2023-02-01,0.7716251722725903,0.7763843425384863,9,resolution,0,0,0.75,1.0,1.0,1.0
2023-03-01,0.7944169862067221,0.7855546290330426,9,resolution,0,0,0.75,0.9431141078516351,0.926181916763273,0.9747899159663865
2023-04-01,0.8440868494972303,0.8134795917046105,9,resolution,0,0,0.75,0.9332557437821849,0.9064581557126506,0.9663865546218487
2023-05-01,0.8155893001232751,0.789842196859844,9,resolution,0,0,0.75,0.9134882822399298,0.8841808644849878,0.9537815126050421
2023-06-01,0.7805672114746062,0.7690428413440044,11,resolution,0,0,0.75,0.9105426321170359,0.895344613219755,0.9590336134453782
2023-07-01,0.7399165158302802,0.7666313865665461,12,resolution,0,0,0.75,0.8384737311301074,0.8590596263165523,0.9259453781512605
2023-08-01,0.6838535898951928,0.7497482571559284,12,resolution,0,0,0.75,0.7922472475352138,0.8439910432892127,0.904936974789916
2023-09-01,0.6236082415245099,0.7279951386088809,12,resolution,0,0,0.75,0.7892772529911519,0.8582276617897806,0.8986344537815126
2023-10-01,0.5626202631750116,0.7209788785852792,12,resolution,0,0,0.75,0.753524101774756,0.8451383201854272,0.8629201680672269
2023-11-01,0.5766520738646402,0.7119087006280603,12,resolution,0,0,0.75,0.7063736056824454,0.8365919386745749,0.8340336134453782
2023-12-01,0.5733505638577757,0.708268939760342,14,resolution,0,0,0.75,0.7509342979351644,0.8380773342679201,0.8613445378151261
2024-01-01,0.4863282761590752,0.6907699160580769,15,resolution,0,0,0.75,0.8713907116817531,0.8898211952587519,0.9359243697478992
2024-02-01,0.4503547365005171,0.6622102978112095,14,resolution,0,0,0.75,0.8744198367589486,0.8788726309562962,0.9038865546218487
2024-03-01,0.4789921167610254,0.6427636875086825,14,resolution,0,0,0.75,0.8652691037144707,0.8539812426154071,0.8823529411764706
2024-04-01,0.4373100169058622,0.6497886097308211,14,resolution,0,0,0.75,0.7382162000058166,0.8123340021441517,0.8272058823529411
2024-05-01,0.4498724946539579,0.671992739675778,14,resolution,0,0,0.75,0.6629830145831282,0.8124396210130633,0.8298319327731093
2024-06-01,0.5304862781928706,0.6763456162730652,12,resolution,0,0,0.75,0.6815233841168402,0.7949938524139519,0.8398109243697479
2024-07-01,0.6246297024355709,0.6973732976509232,11,resolution,0,0,0.75,0.7833742220813582,0.8336127366185777,0.8755252100840336
2024-08-01,0.6654895913857626,0.7319581138327682,11,resolution,0,0,0.75,0.9038699554767381,0.8907934355353325,0.9359243697478992
2024-09-01,0.6478050265584808,0.7384581081073073,11,resolution,0,0,0.75,0.9091717004715025,0.8945429887685533,0.9516806722689075
2024-10-01,0.6377797565081504,0.7407455651233481,11,resolution,0,0,0.75,0.9301317562768946,0.9093205716115869,0.9653361344537815
2024-11-01,0.6316560405352502,0.7364429127709003,11,resolution,0,0,0.75,0.9484100209216003,0.9299099372064779,0.9753151260504201
2024-12-01,0.6316560405352502,0.7364429127709003,11,resolution,0,0,0.75,1.0,1.0,1.0
2023-01-01,0.7529384593620533,0.7734753918535088,11,resolution,0,0,1.0,,,
2023-02-01,0.7529384593620533,0.7734753918535088,11,resolution,0,0,1.0,1.0,1.0,1.0
2023-03-01,0.7147840703486862,0.7737198512251874,11,resolution,0,0,1.0,0.8212097662704179,0.8638339725595378,0.9201680672268907
2023-04-01,0.7147248622247221,0.7810771995372784,11,resolution,0,0,1.0,0.8550673179569392,0.8708349811647456,0.9369747899159664
2023-05-01,0.6683773784844081,0.7586416331648611,11,resolution,0,0,1.0,0.8345789889554461,0.8554372414109163,0.9201680672268907
2023-06-01,0.5947495780152372,0.7333855700026805,14,resolution,0,0,1.0,0.805342103341571,0.8595592885260993,0.9007352941176471
2023-07-01,0.5409445710650718,0.706096963856529,16,resolution,0,0,1.0,0.7390077003368678,0.8338825412825592,0.8660714285714286
2023-08-01,0.5308097498025622,0.7038450955817623,17,resolution,0,0,1.0,0.7283547380822915,0.8295388631556468,0.8597689075630253
2023-09-01,0.5579238920282936,0.7132487650709578,18,resolution,0,0,1.0,0.7480712202875279,0.8238544132942737,0.8413865546218487
2023-10-01,0.6168682406682859,0.7430486588502973,18,resolution,0,0,1.0,0.8036800120382647,0.843728112906026,0.8723739495798319
2023-11-01,0.6244110137914194,0.7453363353913955,19,resolution,0,0,1.0,0.8800306413053909,0.8925539048020559,0.9248949579831933
2023-12-01,0.6199820087376712,0.7526895771597274,19,resolution,0,0,1.0,0.8209897061867958,0.8524343031903868,0.8870798319327731
2024-01-01,0.5938969178123615,0.7380208049318361,18,resolution,0,0,1.0,0.7807824977962786,0.8435217820206272,0.8797268907563025
2024-02-01,0.5745810494032374,0.7284784058628992,18,resolution,0,0,1.0,0.7057219265071034,0.8250530934994239,0.8613445378151261
2024-03-01,0.5446664921413663,0.7183579817362327,18,resolution,0,0,1.0,0.7898538847270341,0.8428561602753203,0.8912815126050421
2024-04-01,0.4190045027991779,0.693015957735035,17,resolution,0,0,1.0,0.7204795850153671,0.8320200518941586,0.8534663865546218
2024-05-01,0.4111442585834074,0.6933806393790846,17,resolution,0,0,1.0,0.6743136608975853,0.8310247447444432,0.8408613445378151
2024-06-01,0.5314058903750866,0.7412612049335167,17,resolution,0,0,1.0,0.6770745413694457,0.8093776709995332,0.8293067226890757
2024-07-01,0.7038637951699588,0.8009393481088876,16,resolution,0,0,1.0,0.736945295826557,0.8248706396204423,0.865546218487395
2024-08-01,0.8008126274471523,0.8496168280788801,16,resolution,0,0,1.0,0.8617718267963522,0.8604599288108626,0.9243697478991597
2024-09-01,0.8269481029371103,0.859316829095681,15,resolution,0,0,1.0,0.9168339163779685,0.8927764723025551,0.9543067226890757
2024-10-01,0.8487005367664952,0.8759439311292894,15,resolution,0,0,1.0,0.95004948687019,0.912882606994543,0.9695378151260504
2024-11-01,0.8572883519654334,0.8895725594631458,15,resolution,0,0,1.0,0.9283541241786414,0.9010146962163438,0.9621848739495799
2024-12-01,0.8572883519654334,0.8895725594631458,15,resolution,0,0,1.0,1.0,1.0,1.0
